date,water_area_raw (km2),non_water_area_raw (km2),cloud_area_raw (km2),water_area_cloud_corrected (km2)
5/18/20,90.63214646,112.736163,183.1951481,155.2724095
5/23/20,36.11303847,23.00396928,327.4464498,182.7293809
5/28/20,107.7511898,96.54241199,182.2698557,187.5660365
6/2/20,-1,-1,386.5634575,-1
6/7/20,131.3323715,158.0143991,97.21668691,183.8144506
6/12/20,75.14068422,297.89515,13.52723905,83.50452913
6/17/20,-1,-1,386.5634575,-1
6/22/20,45.17345415,117.3370085,224.0529949,151.012674
6/27/20,129.0978507,179.7381691,77.72129398,158.1118629
7/2/20,-1,-1,382.436175,-1
7/7/20,28.33248915,39.23944454,318.9915238,190.4917321
7/12/20,132.9518488,183.8692348,69.74160525,186.2976572
7/17/20,109.6169928,172.9188574,104.0272231,159.8377475
7/27/20,-1,-1,358.1792069,-1
8/1/20,9.481252137,57.60844857,319.4737568,197.4609578
8/6/20,-1,-1,365.4371003,-1
8/11/20,144.6791837,156.0951015,85.76651508,185.5657336
8/16/20,-1,-1,386.5634575,-1
8/21/20,61.1171871,50.94267191,274.5035985,191.559236
8/26/20,158.1472453,155.6702578,72.74595443,196.477395
8/31/20,35.24203435,38.44082006,312.8806031,199.0097867
9/5/20,109.6518622,98.58936921,178.3222262,198.0118164
9/10/20,-1,-1,386.5634575,-1
9/15/20,96.39511636,79.62916856,210.5387884,200.9429532
9/20/20,-1,-1,386.5634575,-1
9/25/20,163.6055884,121.2587615,101.6906613,217.9335799
9/30/20,-1,-1,386.5634575,-1
10/5/20,96.55724167,69.89521907,220.1109968,220.5842241
10/10/20,-1,-1,386.5634575,-1
10/15/20,-1,-1,386.5634575,-1
10/20/20,-1,-1,386.5634575,-1
10/25/20,-1,-1,386.3153016,-1
10/30/20,-1,-1,386.5634575,-1
11/4/20,230.3183316,147.5794858,8.665640099,236.928892
11/9/20,-1,-1,386.5634575,-1
11/14/20,13.03132759,94.90386295,278.628267,165.1868617
11/19/20,175.6035447,194.2837554,16.67538891,187.0397054
11/24/20,206.9618548,169.2258342,10.10661416,208.002498
11/29/20,34.08279401,109.6888353,242.7918282,180.8879245
12/4/20,-1,-1,375.8288716,-1
12/9/20,105.4347245,197.7398987,83.18113178,179.4100823
12/14/20,129.6125031,195.858615,61.05046627,164.8102741
12/19/20,139.3823348,171.703691,75.47743172,208.8361513
12/24/20,70.40261228,211.0926388,105.0682064,144.1377621
12/29/20,216.0922977,168.4262887,2.044871215,216.3117679
1/3/21,231.0355217,153.7760955,1.751840392,231.1424291
1/8/21,156.9615617,183.5539771,45.7139411,182.6696959
1/13/21,219.4396285,155.9097262,11.1941308,228.5106946
1/18/21,211.8777456,172.9270943,1.658767201,212.0208527
1/23/21,196.2376533,186.4220434,3.877266672,198.1923486
1/28/21,210.6933809,173.1941149,2.674042296,211.2570522
2/2/21,184.782464,161.3787037,40.40228981,219.6322934
2/7/21,201.6556436,155.306814,29.60099995,225.4051468
2/12/21,189.9333369,149.6934064,46.93671419,224.8080293
2/17/21,211.5774281,173.3852952,1.589598072,211.6307506
2/22/21,220.965089,164.0469608,1.534133642,221.0399612
2/27/21,73.92924422,310.9928266,1.641386728,73.95227739
3/4/21,216.2991231,162.8350393,7.428910888,220.8602488
3/9/21,78.22996494,306.6402619,1.692078206,78.26643363
3/14/21,217.4312995,167.6019807,1.529409529,217.5134776
3/19/21,155.5317215,227.2506824,3.781053593,155.5585986
3/24/21,-1,-1,378.5557118,-1
3/29/21,164.9308961,176.6036417,45.02891964,204.4726328
4/3/21,45.49810432,334.4789831,6.585985833,47.51778668
4/8/21,57.66820731,253.9772782,74.91797207,106.299811
4/13/21,127.8094276,85.07239608,173.6816339,196.5048183
4/18/21,-1,-1,386.5634575,-1
4/23/21,150.8473331,169.3499957,66.35537003,196.262624
4/28/21,75.01529639,135.5632017,175.9849595,197.9587655
5/3/21,170.8668051,187.4754116,28.22124081,188.732652
5/8/21,-1,-1,386.5634575,-1
5/13/21,109.5256182,162.104809,114.9330304,193.7949457
5/18/21,-1,-1,357.3151137,-1
5/23/21,-1,-1,378.6854561,-1
5/28/21,-1,-1,386.5634575,-1
6/2/21,186.4676324,172.3831594,27.71266573,195.6277981
6/7/21,-1,-1,386.5634575,-1
6/12/21,-1,-1,386.5634575,-1
6/17/21,-1,-1,386.4924325,-1
6/22/21,168.900422,164.4529888,53.2100468,195.5890949
6/27/21,119.6073843,152.8323558,114.1237175,193.1479173
7/2/21,183.654782,142.99581,59.91286551,197.7145802
7/7/21,193.5802385,187.5544725,5.386500866,195.8955799
7/12/21,-1,-1,386.3585806,-1
7/17/21,125.7230254,83.92893302,176.9114991,190.898363
7/22/21,42.60196714,28.72695086,315.2345395,187.6429252
7/27/21,-1,-1,378.2377803,-1
8/1/21,-1,-1,381.2952107,-1
8/6/21,-1,-1,382.3593273,-1
8/11/21,95.82934216,128.2296757,162.5044397,200.3735793
8/16/21,23.7573193,28.72353057,334.0826077,199.3361959
8/21/21,146.2165324,144.460042,95.88688309,197.6753672
8/26/21,195.2209522,178.2682859,13.01930327,199.657731
8/31/21,-1,-1,386.5634575,-1
9/5/21,97.35790538,70.95587684,218.2496753,203.0622289
9/10/21,-1,-1,386.5634575,-1
9/15/21,-1,-1,386.5634575,-1
9/20/21,12.23325755,39.76368516,334.5665148,226.0874785
9/25/21,-1,-1,386.5634575,-1
9/30/21,221.6432884,158.8097431,6.110426018,223.3383903
10/5/21,-1,-1,386.5634575,-1
10/10/21,-1,-1,386.5634575,-1
10/15/21,109.5621933,92.77829985,184.2221967,219.9934278
10/20/21,-1,-1,386.5634575,-1
10/25/21,115.3531736,166.4170835,104.7701452,178.8419464
10/30/21,-1,-1,381.0529473,-1
11/4/21,229.6414949,143.5580556,13.36237049,233.849141
11/9/21,-1,-1,368.8988476,-1
11/14/21,-1,-1,386.5411756,-1
11/19/21,19.32441623,117.0928268,250.1462145,187.6039931
11/24/21,217.506669,158.5042475,10.33869209,219.0735313
11/29/21,-1,-1,386.1537139,-1
12/4/21,-1,-1,386.5623046,-1
12/9/21,167.3004161,179.9535561,39.2069914,187.7054004
12/14/21,189.6820742,195.4010225,1.462697973,189.7097198
12/19/21,209.4193718,175.1548784,1.669698605,209.8283798
12/24/21,215.9430342,168.178691,2.317698169,216.3219524
12/29/21,186.8055603,194.866209,4.107003337,188.4084893
1/3/22,64.55647226,58.95438732,263.0445373,233.5632242
1/8/22,26.19478603,37.66426662,322.7044049,237.0939627
1/13/22,212.0066422,172.6199735,1.760971271,212.2674033
1/18/22,210.2109303,174.6112939,1.689010424,210.3150184
1/23/22,212.2945878,172.4864875,1.686762025,212.4631968
1/28/22,204.6517435,140.6962517,41.21546238,225.5841319
2/2/22,184.5561241,94.28257602,107.7247574,231.4512822
2/7/22,218.9288371,160.1360337,7.498586764,222.3811747
2/12/22,219.0089974,152.5612814,14.9931787,228.5906798
