mosaic_enddate,from_date,to_date,water_area_cordeiro,non_water_area_cordeiro,cloud_area,l8_images,corrected_area_cordeiro
2019-01-26,2019-01-12,2019-01-27,177.24187649528258,195.00410584518272,14.317475187319696,2,190.17490306431336
2019-02-11,2019-01-28,2019-02-12,149.3157662464183,231.56314993170565,5.6845413496603365,2,151.56531713875228
2019-02-27,2019-02-13,2019-02-28,157.25272828422206,220.0777678268975,9.23296141666484,2,162.54751521879237
2019-03-15,2019-03-01,2019-03-16,116.54803890677157,166.06639961265884,103.82980304137472,2,171.6397386526822
2019-03-31,2019-03-17,2019-04-01,-1.0,-1.0,386.563457527785,2,-1.0
2019-04-16,2019-04-02,2019-04-17,78.96891007218161,125.73619686632958,181.8021900727943,2,175.31196743369284
2019-05-02,2019-04-18,2019-05-03,106.45327136236573,176.6234263149728,103.48330088474846,2,174.03514463781738
2019-05-18,2019-05-04,2019-05-19,119.62055282592846,151.974224540481,114.85636502758676,2,173.41568849005196
2019-06-03,2019-05-20,2019-06-04,39.36752968866852,138.21823798423148,207.88349377212128,2,173.3477364487393
2019-06-19,2019-06-05,2019-06-20,44.88800838089863,92.08884269380816,249.36031038978487,2,172.17381651896014
2019-07-05,2019-06-21,2019-07-06,68.5032944878595,147.15583465171164,170.36449765182476,2,167.96716474780823
2019-07-21,2019-07-07,2019-07-22,-1.0,-1.0,367.8286655338042,2,-1.0
2019-09-23,2019-09-09,2019-09-24,187.1334120480311,118.1688397521051,81.26120572764849,2,248.2107219070344
2019-10-09,2019-09-25,2019-10-10,141.11710990278704,128.55554309548333,116.79986739589768,2,239.60368269264296
2019-10-25,2019-10-11,2019-10-26,20.88385150378418,280.21871092585786,85.41288898882281,2,89.48485760577393
2019-11-10,2019-10-27,2019-11-11,-1.0,-1.0,349.4713959246446,2,-1.0
2019-11-26,2019-11-12,2019-11-27,137.41210110545774,234.08496475751875,15.054293323072256,2,149.9995638173108
2019-12-12,2019-11-28,2019-12-13,41.03154565325927,304.5100405792347,41.02187129529106,2,80.53334592346191
2019-12-28,2019-12-14,2019-12-29,236.9233127251105,147.9446507392262,1.6954940634478926,2,236.95960060712963
2020-01-13,2019-12-30,2020-01-14,233.7184659339803,149.21937890883407,3.618691963473737,2,234.9477365767528
2020-01-29,2020-01-15,2020-01-30,-1.0,-1.0,386.563457527785,2,-1.0
2020-02-14,2020-01-31,2020-02-15,60.45439323095081,65.47548971662162,259.75507033979494,2,175.6905943909048
2020-03-01,2020-02-16,2020-03-02,211.00227255563848,157.38706395321165,18.174121018934667,2,218.87660929941288
2020-03-17,2020-03-03,2020-03-18,127.89829712771429,177.08433008978184,81.58083031028872,2,142.01398943313418
