date,water_area_uncorrected,non_water_area,cloud_area,unfiltered_area,cloud_percent,QUALITY_DESCRIPTION,sat,water_area_clustering,non_water_area_clustering,water_area,filtered_area,corrected_areas_1,corrected_trend_1,sar_trend,days_passed,filled_area
2020-05-04,0.0,0.0,386.563457527785,,100.52007021490218,1.0,l8,,,,,,,-0.29656379084968876,1.0,200.10821178307302
2020-05-08,,,5.177388248,,1.3393372153106973,0.0,s2,64.43859682,316.9474725,66.42273843,,,,-0.29656379084966744,4.0,198.92195661967435
2020-05-13,,,386.5634575,,100.52007021493975,1.0,s2,0.0,0.0,110.84757396500001,,,,-0.353979261437911,5.0,197.1520603124848
2020-05-18,,,183.1951481,,47.390705075004554,0.0,s2,90.63214646,112.736163,155.2724095,,,,-0.583641143790851,5.0,194.23385459353054
2020-05-20,66.13726860130161,102.33546828860752,217.89031529253904,183.45513771378936,56.39522569814646,0.0,l8,,,,183.45513771378936,183.45513771378936,-0.442768394820294,-0.5836411437908424,2.0,183.45513771378936
2020-05-23,,,327.4464498,,84.70703668559942,0.0,s2,36.11303847,23.00396928,182.7293809,,,,-0.5836411437908472,3.0,181.7042142824168
2020-05-28,,,182.2698557,,47.151341433952055,0.0,s2,107.7511898,96.54241199,187.5660365,,,,-0.05415162745098314,5.0,181.4334561451619
2020-06-02,,,386.5634575,,100.52007021493975,1.0,s2,0.0,0.0,185.69024355,,,,0.07822075163398381,5.0,181.82455990333182
2020-06-05,152.8381502722371,169.0924958973498,64.61119973832506,181.91419010530595,16.71518890446799,0.0,l8,,,,181.91419010530595,181.91419010530595,-0.09630922553021293,0.0782207516339876,3.0,181.91419010530595
2020-06-07,,,97.21668691,,25.148959380746717,0.0,s2,131.3323715,158.0143991,183.8144506,,,,-0.23366669934641493,2.0,181.44685670661312
2020-06-12,,,13.52723905,,3.4993614200060246,0.0,s2,75.14068422,297.89515,83.50452913,,,,-0.2336666993464064,5.0,180.2785232098811
2020-06-17,,,386.5634575,,100.52007021493975,1.0,s2,0.0,0.0,117.25860156499999,,,,-0.2336666993464064,5.0,179.11018971314905
2020-06-21,34.85986185662841,114.7825891305987,236.6841845514668,,61.26530318610684,0.0,l8,,,,,,,-0.08757637254901596,4.0,178.759884222953
2020-06-22,,,224.0529949,,57.96021080730837,0.0,s2,45.17345415,117.3370085,151.012674,,,,-0.08757637254902306,1.0,178.67230785040397
2020-06-27,,,77.72129398,,20.106020817454574,0.0,s2,129.0978507,179.7381691,158.1118629,,,,-0.08757637254901737,5.0,178.23442598765888
2020-07-02,,,382.436175,,100.52571236160705,1.0,s2,0.0,0.0,174.30179750000002,,,,0.8040190196078469,5.0,182.25452108569812
2020-07-07,40.343363056942685,111.90062505439208,234.2806244715028,,60.61208441708048,0.0,l8,,,,,,,0.2735735947712442,5.0,183.62238905955434
2020-07-12,,,69.74160525,,18.041473546626282,0.0,s2,132.9518488,183.8692348,186.2976572,,,,0.2735735947712442,5.0,184.99025703341056
2020-07-17,,,104.0272231,,26.9108019583825,0.0,s2,109.6169928,172.9188574,159.8377475,,,,0.11536100653594303,5.0,185.56706206609027
2020-07-22,,,386.5634575,,100.0,2.0,s2,0.0,0.0,172.3788176,,,,0.00988594771241651,5.0,185.61649180465236
2020-07-23,63.75678425477413,167.7371074293453,155.04551538003057,189.2170435775891,40.111179493349624,0.0,l8,,,,189.2170435775891,189.2170435775891,0.15214278067256556,0.009885947712433563,1.0,189.2170435775891
2020-07-27,,,358.1792069,,100.56151509163237,1.0,s2,0.0,0.0,184.9198877,,,,0.029998447712415555,4.0,189.33703736843876
2020-08-01,,,319.4737568,,82.64458282226919,0.0,s2,9.481252137,57.60844857,197.4609578,,,,0.09033594771241837,5.0,189.78871710700085
2020-08-06,,,365.4371003,,100.55030155103844,1.0,s2,0.0,0.0,191.5133457,,,,0.09033594771241837,5.0,190.24039684556294
2020-08-08,10.091394874633789,30.55525544113095,345.87017506571897,,89.48386004266504,0.0,l8,,,,,,,0.2948473366013076,2.0,190.83009151876556
2020-08-11,,,85.76651508,,22.18821791072844,0.0,s2,144.6791837,156.0951015,185.5657336,,,,0.4993587254901968,3.0,192.32816769523615
2020-08-16,,,386.5634575,,100.52007021493975,1.0,s2,0.0,0.0,188.5624848,,,,0.4993587254901968,5.0,194.82496132268713
2020-08-21,,,274.5035985,,71.01126430009201,0.0,s2,61.1171871,50.94267191,191.559236,,,,0.42092926143790804,5.0,196.92960762987667
2020-08-24,17.58595370839078,38.84019922348827,330.11712013033,201.2419700079932,85.4023709984993,0.0,l8,,,,201.2419700079932,201.2419700079932,0.3757789509501279,0.30328506535947025,3.0,201.2419700079932
2020-08-26,,,72.74595443,,18.818631976964458,0.0,s2,158.1472453,155.6702578,196.477395,,,,0.30328506535947497,2.0,201.84854013871214
2020-08-31,,,312.8806031,,80.93900161059743,0.0,s2,35.24203435,38.44082006,199.0097867,,,,0.30328506535947214,5.0,203.3649654655095
2020-09-05,,,178.3222262,,46.13013017384264,0.0,s2,109.6518622,98.58936921,198.0118164,,,,1.255652124183007,5.0,209.64322608642453
2020-09-09,110.17158225874644,120.6231657017127,154.85122973791974,,40.1537261355885,0.0,l8,,,,,,,1.2556521241830083,4.0,214.66583458315657
2020-09-10,,,386.5634575,,100.52007021493975,1.0,s2,0.0,0.0,199.47738479999998,,,,1.2556521241830296,1.0,215.9214867073396
2020-09-15,,,210.5387884,,54.46427838846218,0.0,s2,96.39511636,79.62916856,200.9429532,,,,0.9152891633986939,5.0,220.49793252433307
2020-09-20,,,386.5634575,,100.52007021493975,1.0,s2,0.0,0.0,209.43826655,,,,0.6883805228758206,5.0,223.93983513871217
2020-09-25,,,101.6906613,,26.306905447769815,0.0,s2,163.6055884,121.2587615,217.9335799,,,,0.5970333986928097,5.0,226.92500213217622
2020-09-30,,,386.5634575,,100.52007021493975,1.0,s2,0.0,0.0,219.258902,,,,0.23164490196078305,5.0,228.08322664198013
2020-10-05,,,220.1109968,,56.94045634854759,0.0,s2,96.55724167,69.89521907,220.5842241,,,,0.23164490196078305,5.0,229.24145115178405
2020-10-10,,,386.5634575,,100.52007021493975,1.0,s2,0.0,0.0,223.30833541666667,,,,0.2719098431372572,5.0,230.60100036747033
2020-10-11,0.0,0.0,386.563457527785,,100.0,2.0,l8,,,,,,,0.28197607843137007,1.0,230.8829764459017
2020-10-15,,,386.5634575,,100.52007021493975,1.0,s2,0.0,0.0,226.03244673333333,,,,0.2819760784313772,4.0,232.0108807596272
2020-10-20,,,386.5634575,,100.52007021493975,1.0,s2,0.0,0.0,228.75655805,,,,0.2871709150326808,5.0,233.44673533479062
2020-10-25,,,386.3153016,,100.52040602902709,1.0,s2,0.0,0.0,231.48066936666666,,,,0.2949631699346412,5.0,234.92155118446382
2020-10-27,38.137785829989326,59.35229025543978,285.0721984176466,,74.51654734851664,0.0,l8,,,,,,,0.2949631699346469,2.0,235.51147752433312
2020-10-30,,,386.5634575,,100.52007021493975,1.0,s2,0.0,0.0,234.20478068333333,,,,0.2949631699346374,3.0,236.39636703413703
2020-11-04,,,8.665640099,,2.2417121771067605,0.0,s2,230.3183316,147.5794858,236.928892,,,,0.042199999999996865,5.0,236.607367034137
2020-11-09,,,386.5634575,,100.52007021493975,1.0,s2,0.0,0.0,201.05787685,,,,0.042199999999996865,5.0,236.818367034137
2020-11-12,94.68053592653736,67.01919277730755,224.66337648348588,233.8281892818544,58.14824797376973,0.0,l8,,,,233.8281892818544,233.8281892818544,0.40732774092326524,0.01996361655773171,3.0,233.8281892818544
2020-11-14,,,278.628267,,72.07827371296953,0.0,s2,13.03132759,94.90386295,165.1868617,,,,-0.024509150326792906,2.0,233.77917098120082
2020-11-19,,,16.67538891,,4.313760583750654,0.0,s2,175.6035447,194.2837554,187.0397054,,,,-0.02450915032679859,5.0,233.65662522956683
2020-11-24,,,10.10661416,,2.616299043844279,0.0,s2,206.9618548,169.2258342,208.002498,,,,-0.03816308496731722,5.0,233.46580980473024
2020-11-28,100.82599311737636,246.80635018664293,38.854350562725664,,10.053218177835143,0.0,l8,,,,,,,-0.09277882352941447,4.0,233.09469451061258
2020-11-29,,,242.7918282,,62.807754712230974,0.0,s2,34.08279401,109.6888353,180.8879245,,,,-0.09277882352944289,1.0,233.00191568708314
2020-12-04,,,375.8288716,,100.53500415616372,1.0,s2,0.0,0.0,180.1490034,,,,-0.09277882352941447,5.0,232.53802156943607
2020-12-09,,,83.18113178,,21.52967328888525,0.0,s2,105.4347245,197.7398987,179.4100823,,,,-0.1878152679738548,5.0,231.5989452295668
2020-12-14,,,61.05046627,,15.794840117275077,0.0,s2,129.6125031,195.858615,164.8102741,,,,-0.2115743790849649,5.0,230.54107333414197
2020-12-19,,,75.47743172,,19.525237125160736,0.0,s2,139.3823348,171.703691,208.8361513,,,,-0.20828237908496589,5.0,229.49966143871714
2020-12-24,,,105.0682064,,27.180066911895317,0.0,s2,70.40261228,211.0926388,144.1377621,,,,-0.2033443790849617,5.0,228.48293954329233
2020-12-29,,,2.044871215,,0.5289872011225129,0.0,s2,216.0922977,168.4262887,216.3117679,,,,-0.20334437908496739,5.0,227.4662176478675
2020-12-30,26.59926507116699,354.89496679974934,5.0597198116536735,,1.3089297857724682,0.0,l8,,,,,,,-0.06969160784313999,1.0,227.39652604002436
2021-01-03,,,1.751840392,,0.4531831339963301,0.0,s2,231.0355217,153.7760955,231.1424291,,,,-0.0696916078431542,4.0,227.11775960865174
2021-01-08,,,45.7139411,,11.835953359084852,0.0,s2,156.9615617,183.5539771,182.6696959,,,,-0.18018803921568177,5.0,226.21681941257333
2021-01-13,,,11.1941308,,2.895956398157951,0.0,s2,219.4396285,155.9097262,228.5106946,,,,-0.18018803921568177,5.0,225.31587921649492
2021-01-15,15.87021052984619,247.45327399676384,123.23997300117496,,31.880916470827263,0.0,l8,,,,,,,-0.18018803921567894,2.0,224.95550313806356
2021-01-18,,,1.658767201,,0.42921692250481197,0.0,s2,211.8777456,172.9270943,212.0208527,,,,-0.25302794117646954,3.0,224.19641931453415
2021-01-23,,,3.877266672,,1.0030778526783608,0.0,s2,196.2376533,186.4220434,198.1923486,,,,-0.2530279411764639,5.0,222.93127960865183
2021-01-28,,,2.674042296,,0.6917507388787136,0.0,s2,210.6933809,173.1941149,211.2570522,,,,-0.22457583006536197,5.0,221.80840045832502
2021-01-31,227.2639810396463,157.44715869448265,1.8523177936558128,227.6718965745584,0.47917560689829947,0.0,l8,,,,227.6718965745584,227.6718965745584,-0.07695365884120023,-0.11076738562092221,3.0,227.6718965745584
2021-02-02,,,40.40228981,,10.45165781324657,0.0,s2,184.782464,161.3787037,219.6322934,,,,-0.11076738562091748,2.0,227.45036180331655
2021-02-07,,,29.60099995,,7.657474955757105,0.0,s2,201.6556436,155.306814,225.4051468,,,,-0.11076738562092033,5.0,226.89652487521195
2021-02-12,,,46.93671419,,12.14204635243211,0.0,s2,189.9333369,149.6934064,224.8080293,,,,-0.19487515032679426,5.0,225.92214912357798
2021-02-16,162.9191665000675,193.91930704579696,29.72498398192042,,7.689548353075741,0.0,l8,,,,,,,-0.215902091503267,4.0,225.0585407575649
2021-02-17,,,1.589598072,,0.4112245572237153,0.0,s2,211.5774281,173.3852952,211.6307506,,,,-0.215902091503267,1.0,224.84263866606165
2021-02-22,,,1.534133642,,0.39688236689838946,0.0,s2,220.965089,164.0469608,221.0399612,,,,-0.27066277124182536,5.0,223.48932480985252
2021-02-27,,,1.641386728,,0.42460990451902386,0.0,s2,73.92924422,310.9928266,73.95227739,,,,-0.3528037908496685,5.0,221.72530585560418
2021-03-04,,,7.428910888,,1.9217849301568593,0.0,s2,216.2991231,162.8350393,220.8602488,,,,-0.3528037908496742,5.0,219.9612869013558
2021-03-09,,,1.692078206,,0.43772457477421306,0.0,s2,78.22996494,306.6402619,78.26643363,,,,-0.3915198692810463,5.0,218.00368755495057
2021-03-14,,,1.529409529,,0.39564333797247564,0.0,s2,217.4312995,167.6019807,217.5134776,,,,-0.3915198692810463,5.0,216.04608820854534
2021-03-19,,,3.781053593,,0.97811976784393,0.0,s2,155.5317215,227.2506824,155.5585986,,,,-0.3915167712418281,5.0,214.0885043523362
2021-03-20,160.01600592686313,152.18362097596685,74.35605201265007,,19.23553476727163,0.0,l8,,,,,,,-0.391514705882372,1.0,213.69698964645383
2021-03-24,,,378.5557118,,100.531129906499,1.0,s2,0.0,0.0,180.0156157,,,,-0.3915147058823578,4.0,212.1309308229244
2021-03-29,,,45.02891964,,11.648519479363646,0.0,s2,164.9308961,176.6036417,204.4726328,,,,-0.40043192810458095,5.0,210.1287711824015
2021-04-03,,,6.585985833,,1.7037286509489142,0.0,s2,45.49810432,334.4789831,47.51778668,,,,-0.43610081699345643,5.0,207.9482670974342
2021-04-05,164.44968014520907,158.01226627387138,63.990962611573096,203.5315263115909,16.55854079920959,0.0,l8,,,,203.5315263115909,203.5315263115909,-0.37719328535886687,-0.4361008169934735,2.0,203.5315263115909
2021-04-08,,,74.91797207,,19.380510651215808,0.0,s2,57.66820731,253.9772782,106.299811,,,,-0.43610081699345454,3.0,202.22322386061055
2021-04-13,,,173.6816339,,44.929656565909696,0.0,s2,127.8094276,85.07239608,196.5048183,,,,-0.3656512745098041,5.0,200.39496748806152
2021-04-18,,,386.5634575,,100.52007021493975,1.0,s2,0.0,0.0,196.38372114999999,,,,-0.34803888888888534,5.0,198.6547730436171
2021-04-21,13.318403824401855,39.71028432742992,333.4863530967174,206.7514583321952,86.28030412981222,0.0,l8,,,,206.7514583321952,206.7514583321952,0.20124575128776812,-0.3480388888888892,3.0,206.7514583321952
2021-04-23,,,66.35537003,,17.165931121640437,0.0,s2,150.8473331,169.3499957,196.262624,,,,0.030148986928097088,2.0,206.8117563060514
2021-04-28,,,175.9849595,,45.52550326333602,0.0,s2,75.01529639,135.5632017,197.9587655,,,,0.030148986928105616,5.0,206.96250124069192
2021-05-03,,,28.22124081,,7.300545424490867,0.0,s2,170.8668051,187.4754116,188.732652,,,,0.03014898692809993,5.0,207.11324617533242
2021-05-07,178.9244264001649,187.95786654362425,19.68116458399558,196.2412213720277,5.091315332769387,0.0,l8,,,,196.2412213720277,196.2412213720277,-0.656889810010469,-0.15912980392157294,4.0,196.2412213720277
2021-05-08,,,386.5634575,,100.52007021493975,1.0,s2,0.0,0.0,191.26379885,,,,-0.15912980392155873,1.0,196.08209156810614
2021-05-13,,,114.9330304,,29.731995650485928,0.0,s2,109.5256182,162.104809,193.7949457,,,,-0.15912980392157577,5.0,195.28644254849826
2021-05-18,,,357.3151137,,100.56288064393699,1.0,s2,0.0,0.0,194.2531588,,,,0.14937133333333463,5.0,196.03329921516493
2021-05-23,46.80418559230837,177.46562756507126,161.92300856852543,,41.92802130419918,0.0,l8,,,,,,,0.355038758169934,5.0,197.8084930060146
2021-05-28,,,386.5634575,,100.52007021493975,1.0,s2,0.0,0.0,195.169585,,,,0.2520227124183066,5.0,199.06860656810613
2021-06-02,,,27.71266573,,7.168982269321022,0.0,s2,186.4676324,172.3831594,195.6277981,,,,-0.1600414705882372,5.0,198.26839921516495
2021-06-07,,,386.5634575,,100.52007021493975,1.0,s2,0.0,0.0,195.6181223,,,,-0.1600414705882315,5.0,197.4681918622238
2021-06-08,0.0,0.0,386.563457527785,,100.52007021490218,1.0,l8,,,,,,,-0.16004147058822582,1.0,197.30815039163556
