Elevation,CumArea
145.2898551,0.200400802
146.0869565,3.006012024
146.8115942,5.110220441
147.6811594,7.915831663
148.3333333,10.72144289
148.9130435,13.52705411
149.6376812,18.43687375
150.3623188,23.34669339
151.0144928,29.65931864
151.6666667,36.67334669
152.4637681,44.38877756
153.115942,51.40280561
153.7681159,59.81963928
154.1304348,66.83366733
154.5652174,73.14629259
154.9275362,80.16032064
155.3623188,88.57715431
155.7971014,96.29258517
156.1594203,104.7094188
156.4492754,111.7234469
156.8115942,118.0360721
157.2463768,126.4529058
157.6811594,135.5711423
158.115942,143.2865731
158.4057971,150.3006012
158.6956522,158.0160321
159.1304348,166.4328657
159.5652174,174.1482966
159.9275362,182.5651303
160.2898551,190.9819639
160.6521739,200.1002004
160.942029,207.8156313
161.2318841,216.2324649
161.5217391,225.3507014
161.7391304,233.7675351
162.0289855,240.7815631
162.2463768,249.8997996
162.5362319,261.1222445
162.826087,270.240481
162.9710145,277.9559118
163.1884058,285.6713427
163.4057971,294.0881764
163.6956522,305.3106212
163.9130435,313.7274549
164.1304348,321.4428858
164.4202899,331.9639279
164.7101449,343.1863727
164.9275362,352.3046092
165.2173913,364.2284569
165.4347826,374.749499
165.6521739,385.9719439
166.0144928,400
