date,unfiltered_area,filtered_area,corrected_areas_1,corrected_trend_1,sar_trend,days_passed,area
2018-12-30,178.39627172321107,178.39627172321107,198.2812909822352,-0.6831493564079721,0.0,5.0,198.2812909822352
2019-01-04,198.2812909822352,198.2812909822352,198.2812909822352,3.977003851804824,0.13540970588235268,5.0,198.2812909822352
2019-01-09,168.66897438835613,,,,0.14036909150326551,5.0,198.98313643975152
2019-01-19,177.8891947901255,177.8891947901255,177.8891947901255,-1.3594730794739802,0.14780816993464044,10.0,177.8891947901255
2019-01-24,175.03166150545272,175.03166150545272,175.03166150545272,-0.5715066569345538,0.03204774509804338,5.0,175.03166150545272
2019-01-29,175.97820145971895,175.97820145971895,175.97820145971895,0.18930799085324565,0.03204774509803769,5.0,175.97820145971895
2019-02-03,176.15642528084743,176.15642528084743,176.15642528084743,0.03564476422569669,-0.6453229215686292,5.0,176.15642528084743
2019-02-08,174.38276122101237,174.38276122101237,174.38276122101237,-0.35473281196701123,-1.096903366013072,5.0,174.38276122101237
2019-02-13,179.76436564115903,179.76436564115903,179.76436564115903,1.0763208840293317,-0.8121370718954267,5.0,179.76436564115903
2019-02-18,171.4327982606412,171.4327982606412,171.4327982606412,-1.6663134761035678,0.3269281045751654,5.0,171.4327982606412
2019-02-23,160.29437650670835,,,,0.3269281045751654,5.0,173.06743878351702
2019-02-28,169.09871756132597,169.09871756132597,169.09871756132597,-0.23340806993152227,0.3222324967320276,5.0,169.09871756132597
2019-03-05,169.3359827195212,169.3359827195212,169.3359827195212,0.0474530316390485,0.3210585947712389,5.0,169.3359827195212
2019-03-10,166.27524006584378,,,,-0.2182868169934636,5.0,168.2445486345539
2019-03-15,164.49037754707246,164.49037754707246,164.49037754707246,-0.48456051724487564,-1.027304934640523,5.0,164.49037754707246
2019-03-20,162.90945615403697,162.90945615403697,162.90945615403697,-0.3161842786070963,-1.027304934640523,5.0,162.90945615403697
2019-03-25,161.41464634634724,161.41464634634724,161.41464634634724,-0.29896196153794674,-1.0534467973856239,5.0,161.41464634634724
2019-03-30,159.92062691330594,159.92062691330594,159.92062691330594,-0.2988038866082604,-1.0534467973856239,5.0,159.92062691330594
2019-04-04,323.5759289896138,,,,-0.45472140522875293,5.0,157.64701988716217
2019-04-09,158.73282027922411,158.73282027922411,158.73282027922411,-0.11878066340818236,-0.05557114379084851,5.0,158.73282027922411
2019-04-14,60.60784152426039,,,,0.01444920261437801,5.0,158.805066292296
2019-04-19,66.29350441642802,,,,0.29453058823529543,5.0,160.27771923347248
2019-04-24,73.69295086638016,,,,0.29453058823528977,5.0,161.75037217464893
2019-04-29,94.20306652096474,,,,-0.950389019607843,5.0,156.99842707660972
2019-05-04,111.56498657238602,,,,-1.261618921568629,5.0,150.69033246876657
2019-05-09,150.66600096125538,150.66600096125538,150.66600096125538,-0.26889397726562453,-0.7929842156862719,5.0,150.66600096125538
2019-05-14,232.6885015885924,,,,-0.09003215686274188,5.0,150.21584017694167
2019-05-29,153.48671480309824,153.48671480309824,153.48671480309824,0.141035692092143,-0.01557220043573011,15.0,153.48671480309824
2019-06-03,310.44286077345765,,,,0.1175287581699365,5.0,154.07435859394792
2019-06-08,160.07234495814305,160.07234495814305,160.07234495814305,0.658563015504481,0.1814427450980361,5.0,160.07234495814305
2019-06-23,63.92423678488625,,,,-0.005248272331154643,15.0,159.99362087317573
2019-06-28,153.612755917957,153.612755917957,153.612755917957,-0.3229794520093023,-0.26629340522875966,5.0,153.612755917957
2019-07-08,159.0966228197766,,,,-0.2491743202614373,10.0,151.12101271534263
2019-07-13,290.26755312986063,,,,0.012459509803920809,5.0,151.18331026436223
2019-07-18,116.18927127496336,,,,0.012459509803920809,5.0,151.24560781338184
2019-07-23,151.21651327662974,151.21651327662974,151.21651327662974,-0.09584970565309049,-0.3311501960784312,5.0,151.21651327662974
2019-08-12,168.1258061208704,,,,-0.20107006209150313,20.0,147.19511203479968
2019-08-17,141.04970511052508,141.04970511052508,141.04970511052508,-0.40667232664418634,-0.18915026143791352,5.0,141.04970511052508
2019-08-27,164.94199605660546,,,,0.0726165359477136,10.0,141.77587047000222
2019-09-16,160.66067870316667,,,,0.292066575163399,20.0,147.6172019732702
2019-09-21,157.0636729244272,157.0636729244272,157.0636729244272,0.4575419375400608,-0.011816764705883998,5.0,157.0636729244272
2019-10-01,161.98414417833874,,,,0.036533274509807256,10.0,157.42900566952528
2019-10-06,156.87696481641797,156.87696481641797,156.87696481641797,-0.012447207200616124,0.14935003267973457,5.0,156.87696481641797
2019-10-11,153.56681737600553,153.56681737600553,153.56681737600553,-0.6620294880824872,0.12261002614379209,5.0,153.56681737600553
2019-10-16,153.17280747409572,153.17280747409572,153.17280747409572,-0.07880198038196226,0.015649999999999407,5.0,153.17280747409572
2019-10-21,152.05636946648,152.05636946648,152.05636946648,-0.22328760152314545,0.015649999999999407,5.0,152.05636946648
2019-10-26,154.39548652101,154.39548652101,154.39548652101,0.46782341090600427,0.2321899999999971,5.0,154.39548652101
2019-10-31,149.86383582584708,149.86383582584708,149.86383582584708,-0.9063301390325875,0.28632500000000505,5.0,149.86383582584708
2019-11-05,90.57894551367475,,,,0.4660019673202555,5.0,152.19384566244835
2019-11-10,147.82451440655183,147.82451440655183,147.82451440655183,-0.20393214192952486,0.7355174183006568,5.0,147.82451440655183
2019-11-15,148.35274440349983,148.35274440349983,148.35274440349983,0.10564599938959987,0.7355174183006511,5.0,148.35274440349983
2019-11-20,145.2740499308948,,,,0.5543456535947712,5.0,151.12447267147368
